,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],-0.27,0.36,-0.98,0.33,0.01,0.01,761.78,499.89,1.01
alpha[1],-0.38,0.35,-1.05,0.23,0.01,0.01,817.72,918.09,1.01
alpha[2],-0.17,0.4,-0.95,0.51,0.01,0.01,710.77,715.09,1.01
alpha[3],-0.3,0.35,-0.94,0.33,0.01,0.01,1271.89,1057.45,1.0
alpha[4],-0.15,0.39,-0.87,0.59,0.02,0.01,627.23,958.36,1.02
alpha[5],0.1,0.39,-0.6,0.83,0.02,0.01,406.18,510.19,1.01
alpha[6],-0.17,0.34,-0.83,0.42,0.01,0.01,969.57,815.11,1.0
alpha[7],-0.02,0.4,-0.71,0.73,0.04,0.03,78.77,344.44,1.03
alpha[8],0.11,0.36,-0.52,0.8,0.01,0.01,818.79,699.82,1.01
alpha[9],-0.02,0.36,-0.76,0.6,0.01,0.01,988.98,1069.18,1.0
alpha[10],-0.41,0.34,-1.1,0.18,0.01,0.01,721.55,1153.45,1.0
alpha[11],0.01,0.37,-0.73,0.69,0.01,0.01,656.36,890.79,1.02
alpha[12],0.19,0.33,-0.44,0.78,0.01,0.01,820.62,1001.61,1.0
alpha[13],-0.21,0.33,-0.86,0.38,0.01,0.01,1330.49,1455.91,1.0
alpha[14],0.39,0.39,-0.3,1.18,0.01,0.01,831.16,591.18,1.0
alpha[15],0.03,0.39,-0.77,0.66,0.01,0.01,923.4,856.92,1.01
alpha[16],0.24,0.35,-0.48,0.84,0.01,0.01,991.99,602.95,1.0
alpha[17],-0.27,0.37,-0.99,0.38,0.01,0.01,1112.03,1264.17,1.0
alpha[18],-0.01,0.35,-0.69,0.58,0.01,0.01,973.78,940.48,1.01
alpha[19],-0.11,0.38,-0.91,0.58,0.01,0.01,698.88,846.13,1.01
alpha[20],-0.73,0.36,-1.37,-0.02,0.01,0.01,814.24,881.98,1.0
