,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],-0.12,0.4,-0.84,0.61,0.01,0.01,939.34,1270.3,1.0
alpha[1],-0.46,0.35,-1.09,0.21,0.01,0.01,1624.19,1294.31,1.0
alpha[2],-0.18,0.38,-0.9,0.48,0.01,0.01,1594.79,1304.95,1.0
alpha[3],-0.55,0.37,-1.36,0.03,0.01,0.01,1366.55,1335.73,1.0
alpha[4],0.64,0.38,-0.04,1.34,0.01,0.01,1949.29,1227.38,1.0
alpha[5],-0.53,0.41,-1.33,0.2,0.01,0.01,1407.12,840.79,1.0
alpha[6],0.04,0.37,-0.68,0.76,0.01,0.01,1427.8,1521.0,1.0
alpha[7],0.02,0.36,-0.65,0.68,0.01,0.01,2108.06,1365.09,1.0
alpha[8],0.33,0.39,-0.42,1.02,0.01,0.01,1380.59,1334.76,1.0
alpha[9],-0.4,0.36,-1.1,0.23,0.01,0.01,1872.51,1558.12,1.0
alpha[10],0.28,0.38,-0.46,0.96,0.01,0.01,1275.03,1211.41,1.0
alpha[11],-0.03,0.38,-0.75,0.65,0.01,0.01,1807.24,1422.05,1.0
alpha[12],-0.15,0.35,-0.82,0.51,0.01,0.01,1645.44,1504.78,1.0
alpha[13],-0.03,0.38,-0.73,0.68,0.01,0.01,1588.75,1446.91,1.0
alpha[14],-0.08,0.39,-0.78,0.69,0.01,0.01,1533.6,1122.23,1.0
alpha[15],0.67,0.4,-0.15,1.36,0.01,0.01,1503.45,1539.14,1.0
alpha[16],-0.64,0.37,-1.3,0.05,0.01,0.01,1240.79,1251.59,1.0
alpha[17],-0.4,0.4,-1.25,0.26,0.01,0.01,1356.47,1076.99,1.0
alpha[18],0.44,0.35,-0.2,1.12,0.01,0.01,1816.84,1191.8,1.0
alpha[19],-0.0,0.39,-0.71,0.75,0.01,0.01,1757.08,1150.98,1.0
alpha[20],0.16,0.38,-0.54,0.83,0.01,0.01,1280.43,1177.01,1.0
