,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],0.14,0.42,-0.6,1.02,0.01,0.01,2071.06,1598.55,1.0
alpha[1],-0.1,0.45,-0.91,0.73,0.01,0.01,2459.07,1483.17,1.0
alpha[2],1.12,0.45,0.36,1.99,0.01,0.01,1230.96,1238.05,1.0
alpha[3],0.61,0.41,-0.18,1.34,0.01,0.01,2203.32,1239.03,1.0
alpha[4],0.57,0.4,-0.19,1.34,0.01,0.01,2055.72,1288.55,1.0
alpha[5],-0.35,0.41,-1.09,0.43,0.01,0.01,2585.76,1324.38,1.0
alpha[6],-0.01,0.4,-0.78,0.7,0.01,0.01,2230.55,1339.31,1.0
alpha[7],-0.12,0.39,-0.85,0.61,0.01,0.01,2605.53,1157.33,1.0
alpha[8],0.0,0.4,-0.75,0.78,0.01,0.01,2810.33,1242.65,1.0
alpha[9],0.34,0.43,-0.54,1.09,0.01,0.01,1950.4,1115.66,1.0
alpha[10],0.3,0.45,-0.53,1.14,0.01,0.01,2264.86,1062.56,1.0
alpha[11],-0.17,0.44,-1.09,0.58,0.01,0.01,2028.2,1156.44,1.01
alpha[12],0.06,0.39,-0.61,0.89,0.01,0.01,2835.82,1311.36,1.0
alpha[13],-0.2,0.42,-0.99,0.56,0.01,0.01,2753.98,1098.21,1.0
alpha[14],-0.25,0.38,-0.98,0.49,0.01,0.01,2038.85,1170.85,1.0
alpha[15],-0.26,0.4,-1.01,0.52,0.01,0.01,2773.52,1305.67,1.0
alpha[16],0.6,0.44,-0.25,1.38,0.01,0.01,1744.91,1251.27,1.0
alpha[17],-0.69,0.44,-1.46,0.18,0.01,0.01,2325.19,1397.3,1.0
alpha[18],-0.3,0.42,-1.12,0.49,0.01,0.01,1910.49,1080.26,1.0
alpha[19],-0.2,0.44,-1.08,0.59,0.01,0.01,2592.02,1354.12,1.0
alpha[20],-0.43,0.43,-1.29,0.35,0.01,0.01,2243.08,1334.39,1.0
alpha[21],0.05,0.41,-0.74,0.82,0.01,0.01,2596.71,1289.88,1.0
alpha[22],-0.21,0.4,-0.89,0.57,0.01,0.01,1904.86,1372.29,1.0
alpha[23],-0.37,0.42,-1.19,0.4,0.01,0.01,2699.12,1337.88,1.0
alpha[24],-0.02,0.41,-0.78,0.75,0.01,0.01,2636.59,1131.05,1.0
alpha[25],-0.08,0.4,-0.8,0.67,0.01,0.01,2385.88,1373.83,1.0
alpha[26],-0.69,0.4,-1.38,0.1,0.01,0.01,2227.33,1482.53,1.01
alpha[27],0.6,0.4,-0.11,1.38,0.01,0.01,1891.32,1406.97,1.0
alpha[28],0.27,0.44,-0.55,1.1,0.01,0.01,2485.13,1214.0,1.0
alpha[29],0.31,0.45,-0.46,1.21,0.01,0.01,2540.98,1380.22,1.0
alpha[30],0.63,0.41,-0.1,1.44,0.01,0.01,2134.34,1286.22,1.0
alpha[31],0.37,0.41,-0.38,1.15,0.01,0.01,1779.25,1284.63,1.0
alpha[32],-0.48,0.43,-1.26,0.31,0.01,0.01,2147.2,1347.46,1.0
alpha[33],0.12,0.42,-0.66,0.89,0.01,0.01,1778.23,1415.03,1.0
alpha[34],-0.28,0.43,-1.06,0.51,0.01,0.01,2226.19,1060.65,1.0
alpha[35],-0.41,0.4,-1.17,0.29,0.01,0.01,2024.75,1507.94,1.0
alpha[36],-0.71,0.43,-1.58,0.03,0.01,0.01,1522.84,1397.91,1.0
alpha[37],0.11,0.42,-0.61,0.92,0.01,0.01,2628.88,1475.35,1.0
alpha[38],-0.34,0.42,-1.12,0.48,0.01,0.01,2040.86,1437.61,1.0
alpha[39],-0.35,0.43,-1.15,0.43,0.01,0.01,2196.19,1292.19,1.0
alpha[40],-0.78,0.44,-1.64,-0.0,0.01,0.01,1852.92,1124.59,1.0
alpha[41],0.27,0.42,-0.47,1.07,0.01,0.01,2686.36,1458.87,1.0
alpha[42],0.01,0.44,-0.79,0.89,0.01,0.01,2115.52,1209.56,1.0
alpha[43],-0.73,0.46,-1.56,0.13,0.01,0.01,1922.12,1168.48,1.0
alpha[44],0.27,0.41,-0.46,1.11,0.01,0.01,2249.39,1500.83,1.0
alpha[45],0.13,0.42,-0.61,0.91,0.01,0.01,3119.69,1374.08,1.0
alpha[46],0.2,0.4,-0.55,0.97,0.01,0.01,2698.2,1279.33,1.0
alpha[47],-0.62,0.44,-1.43,0.23,0.01,0.01,2103.56,1004.3,1.0
alpha[48],-0.38,0.42,-1.18,0.38,0.01,0.01,2077.87,1070.56,1.0
alpha[49],-0.5,0.45,-1.38,0.31,0.01,0.01,1857.81,1393.3,1.0
alpha[50],0.37,0.45,-0.44,1.25,0.01,0.01,2445.83,1181.3,1.0
alpha[51],0.51,0.43,-0.27,1.31,0.01,0.01,1694.75,1356.23,1.0
alpha[52],0.45,0.43,-0.41,1.23,0.01,0.01,2212.43,1391.04,1.0
alpha[53],-0.47,0.45,-1.27,0.36,0.01,0.01,2179.23,1362.34,1.0
alpha[54],0.2,0.38,-0.5,0.91,0.01,0.01,2947.9,1146.12,1.0
alpha[55],0.07,0.39,-0.58,0.88,0.01,0.01,2251.34,1152.49,1.0
alpha[56],-0.37,0.46,-1.31,0.4,0.01,0.01,2071.3,1215.42,1.0
alpha[57],0.57,0.43,-0.33,1.31,0.01,0.01,1981.4,1116.35,1.01
alpha[58],0.25,0.41,-0.52,1.01,0.01,0.01,2087.81,1525.49,1.0
alpha[59],0.11,0.4,-0.66,0.85,0.01,0.01,2914.24,1294.6,1.0
alpha[60],0.44,0.4,-0.34,1.14,0.01,0.01,1967.13,1309.31,1.0
alpha[61],-0.09,0.43,-0.85,0.74,0.01,0.01,2185.8,1172.88,1.0
alpha[62],-0.21,0.4,-0.98,0.51,0.01,0.01,3082.72,1470.72,1.0
alpha[63],0.52,0.43,-0.26,1.33,0.01,0.01,1675.7,1318.43,1.0
alpha[64],0.78,0.46,-0.04,1.66,0.01,0.01,1369.69,769.99,1.01
alpha[65],-0.06,0.39,-0.76,0.71,0.01,0.01,2617.82,1250.33,1.0
alpha[66],0.29,0.4,-0.46,1.03,0.01,0.01,3033.68,1432.23,1.0
alpha[67],-0.02,0.42,-0.85,0.73,0.01,0.01,2659.37,1010.64,1.0
alpha[68],-0.34,0.42,-1.1,0.47,0.01,0.01,2560.76,1419.04,1.0
alpha[69],-0.33,0.43,-1.1,0.47,0.01,0.01,2422.2,1352.1,1.0
alpha[70],0.18,0.4,-0.59,0.95,0.01,0.01,3112.96,1395.22,1.0
alpha[71],0.4,0.45,-0.42,1.26,0.01,0.01,1893.62,1415.46,1.0
alpha[72],-1.12,0.46,-1.97,-0.25,0.01,0.01,1017.29,1404.75,1.0
alpha[73],0.27,0.42,-0.46,1.07,0.01,0.01,2949.43,1327.8,1.0
alpha[74],-0.13,0.44,-0.91,0.71,0.01,0.01,2524.44,1012.91,1.0
alpha[75],0.51,0.43,-0.23,1.33,0.01,0.01,1734.61,1293.35,1.0
alpha[76],-0.06,0.42,-0.86,0.69,0.01,0.01,2533.19,1412.29,1.0
alpha[77],-0.26,0.4,-1.05,0.48,0.01,0.01,2547.14,1379.76,1.0
alpha[78],-0.3,0.45,-1.18,0.49,0.01,0.01,3580.22,1461.72,1.0
alpha[79],-0.38,0.41,-1.23,0.33,0.01,0.01,2259.34,1020.38,1.0
alpha[80],0.25,0.42,-0.49,1.07,0.01,0.01,2292.41,1501.66,1.0
alpha[81],0.62,0.42,-0.15,1.41,0.01,0.01,2358.33,1228.45,1.0
alpha[82],0.02,0.42,-0.74,0.83,0.01,0.01,2723.69,1557.75,1.0
alpha[83],-0.07,0.41,-0.9,0.66,0.01,0.01,2511.06,1264.45,1.0
alpha[84],0.28,0.42,-0.46,1.1,0.01,0.01,3208.9,1355.69,1.0
alpha[85],-0.53,0.4,-1.23,0.25,0.01,0.01,2291.34,1557.55,1.0
alpha[86],-0.48,0.42,-1.24,0.34,0.01,0.01,1796.21,1308.56,1.0
alpha[87],-0.55,0.43,-1.37,0.22,0.01,0.01,2033.73,1358.82,1.0
alpha[88],-0.03,0.41,-0.85,0.7,0.01,0.01,2827.86,1346.25,1.0
alpha[89],0.15,0.41,-0.61,0.91,0.01,0.01,2132.78,1384.66,1.0
alpha[90],0.54,0.41,-0.25,1.27,0.01,0.01,2011.99,1174.17,1.0
alpha[91],0.6,0.42,-0.26,1.35,0.01,0.01,2283.97,1522.88,1.0
alpha[92],-0.01,0.4,-0.77,0.72,0.01,0.01,2642.93,1180.56,1.0
alpha[93],-0.03,0.39,-0.76,0.72,0.01,0.01,3137.67,1367.71,1.0
alpha[94],0.36,0.41,-0.42,1.1,0.01,0.01,2475.99,1206.73,1.0
alpha[95],0.21,0.4,-0.55,0.98,0.01,0.01,2249.93,1285.72,1.0
alpha[96],0.5,0.43,-0.32,1.26,0.01,0.01,2324.7,1336.35,1.01
alpha[97],0.03,0.39,-0.8,0.7,0.01,0.01,2694.97,1419.98,1.0
alpha[98],-0.62,0.43,-1.39,0.21,0.01,0.01,2203.59,1450.7,1.0
